SC, 0.99682588682488926, DM, 0.0031322620945258058, DB, 4.1843558634854289e-05,CK, 0.52171371665527133, ST, 0.22975183627763762, RE, 0.19225750165956768
SC, 0.9999700914592986, DM, 2.9485036497495967e-05, DB, 4.2313221734878186e-07,SC, 0.30226362846430194, ST, 0.27793589703338795, RE, 0.15570904165552132
DM, 0.7392477238402011, SC, 0.15554324611651238, SA, 0.10520810005362285,ST, 0.61085828114695107, RE, 0.15896338066766397, CK, 0.12887265114652532
SC, 0.89262507331307628, DM, 0.10559902580960255, DB, 0.0017757369070392152,RE, 0.77260449688280064, SC, 0.14170803491612952, ST, 0.042745081591171345
SA, 0.80787682853232412, DM, 0.19200915183161366, SC, 0.00011393064058983044,ST, 0.46074545891396423, HA, 0.25963430084093669, SC, 0.1079435871520469
SA, 0.96862927045915304, SC, 0.030911495685170574, DM, 0.00045845645744791027,RE, 0.75411590269026219, ST, 0.13704471666458623, CK, 0.063774997519298299
SC, 0.99945511903733264, SA, 0.00053291966147165856, CH, 1.1586661816422337e-05,ST, 0.42902156918542372, HA, 0.27452915380149956, SC, 0.16428393362849353
SA, 0.98729258258363028, SC, 0.0084807674829050286, DM, 0.0042266309955244679,HA, 0.39650145425362249, SC, 0.31658852970014034, ST, 0.24618312635668763
SC, 0.99999999989905741, SA, 8.0066921853586416e-11, DM, 1.0163598494514864e-11,RE, 0.93194355506633442, SC, 0.029474006118288557, CK, 0.015468910903232885
SA, 0.9943818823476861, SC, 0.0041240245344431664, DM, 0.0014940897399543678,ST, 0.44060898467029691, HA, 0.43270440745826821, CH, 0.038344467431323789
DM, 0.53986821642852889, SA, 0.42497727665830032, SC, 0.035154505796679829,ST, 0.5264402394173946, HA, 0.15607408605512335, SC, 0.11945454131364275
SA, 0.92592653059257302, DM, 0.071264620319191604, SC, 0.0028088438927310107,ST, 0.53725211025039898, RE, 0.34368381948748938, CK, 0.038160399013837873
SA, 0.53595037463894513, DM, 0.46316834976327498, SC, 0.00088125384351513299,RE, 0.43832601791687065, SC, 0.30501596065444259, ST, 0.16841739660425545
SA, 0.9947544870013354, SC, 0.0028823654058002979, DM, 0.002363145525616713,ST, 0.47195638800199247, HA, 0.3099173956970469, CK, 0.089110217571484837
SC, 0.99463831440383021, DM, 0.0053545942042396537, DB, 5.0394774286991279e-06,HA, 0.35460188772413098, ST, 0.26994967932670216, SC, 0.18504179481091029
SA, 0.88589876602045203, SC, 0.11404830156631245, CH, 5.2931826401525538e-05,RE, 0.74383971044374086, ST, 0.10542200907395179, SC, 0.077481604585408953
SA, 0.99853350574761168, SC, 0.0014551113236892339, DM, 1.1325242149653172e-05,ST, 0.38246454046463779, RE, 0.26004926799656819, SC, 0.17437536090661315
SA, 0.97330695771225262, SC, 0.026688720218595436, CH, 3.4920555852313879e-06,ST, 0.55722438671881191, RE, 0.3382150173113595, CK, 0.033513522908145722
SA, 0.99955083251332233, SC, 0.00029576294835132757, DM, 0.00015331758351553091,RE, 0.51149799498403903, ST, 0.29093525225437911, CK, 0.1123069235415195
SA, 0.99999990580826759, CH, 9.3172201134392401e-08, SC, 8.9059915428898188e-10,RE, 0.73777537584724984, SC, 0.091375990376816346, ST, 0.088129004409466777
SA, 0.67035644066729971, SC, 0.29080556389615053, DM, 0.038837960026480323,HA, 0.37693492607206536, ST, 0.32364390281167144, SC, 0.10553618023559914
SC, 0.99999993460639602, SA, 4.341104855511627e-08, DM, 2.1907474418223157e-08,ST, 0.55874747567546224, SC, 0.19049080551043557, HA, 0.09288588853820004
SA, 0.94510348450958825, DM, 0.052546412416433978, SC, 0.0023500958221844988,ST, 0.68336535916421481, RE, 0.14716629389772695, CK, 0.05714908093441981
SA, 0.868379498945127, DM, 0.13157020139921555, SC, 5.0204722893016825e-05,RE, 0.72278839084335889, ST, 0.12346669616586253, CK, 0.10635583577856093
DM, 0.98609185621369577, SC, 0.013856904085103917, SA, 4.857508250386921e-05,HA, 0.51497802859357389, ST, 0.2249452558833451, SC, 0.19011538648456397
SA, 0.99980344199882976, SC, 0.00019652396016972827, CH, 2.293237287411303e-08,ST, 0.43264637812471701, HA, 0.21028648788745147, SC, 0.18301651048800027
SC, 0.99974649093355594, DM, 0.00023371737649914196, SA, 1.9720432732886624e-05,ST, 0.5241177868008402, RE, 0.17889188441279466, CK, 0.11381289537783268
SC, 0.69454110132980962, DM, 0.3039771459289341, DB, 0.0014817040664530218,RE, 0.88263695251886842, ST, 0.074045513250957248, SC, 0.017144524111181999
